#Note,Mention_TB,Label
#0 : Mathématiques / NSI (Cluster dense, réussite homogène élevée).1 : Humanités / Littérature (Cluster plus dispersé, notes plus variées).2 : Mathématiques / Physique (Micro-cluster "Élite", ultra-dense, notes très hautes).3 : Candidats Libres / Autres (Bruit, points isolés).
16.50,45.20,0
15.82,42.15,0
16.12,44.58,0
15.95,43.05,0
16.34,46.82,0
15.71,41.55,0
16.28,44.02,0
16.05,43.25,0
16.45,47.12,0
15.90,42.55,0
16.18,45.90,0
15.75,41.20,0
16.40,46.50,0
15.88,43.10,0
16.02,44.80,0
15.98,42.90,0
16.35,47.05,0
15.65,41.80,0
16.22,45.10,0
15.78,42.30,0
16.10,44.60,0
15.92,43.40,0
16.48,46.90,0
15.85,42.70,0
16.08,44.30,0
16.25,45.50,0
15.72,41.95,0
16.38,46.20,0
15.96,43.60,0
16.15,44.15,0
16.01,42.85,0
15.89,41.45,0
16.42,46.15,0
15.79,42.25,0
16.20,45.30,0
15.94,43.15,0
16.11,44.75,0
15.81,42.05,0
16.32,46.40,0
16.04,43.85,0
16.44,47.25,0
15.86,42.65,0
16.09,44.45,0
16.21,45.15,0
15.76,41.35,0
16.39,46.75,0
15.99,43.55,0
16.14,44.25,0
16.03,42.95,0
15.87,41.65,0
16.41,46.35,0
15.74,42.45,0
16.24,45.25,0
15.93,43.22,0
16.13,44.82,0
15.84,42.12,0
16.31,46.55,0
16.06,43.92,0
16.46,47.32,0
15.83,42.52,0
16.16,44.65,0
15.73,41.72,0
16.37,46.85,0
15.97,43.42,0
16.17,44.35,0
16.07,43.12,0
15.80,41.52,0
16.43,46.65,0
15.77,42.22,0
16.23,45.45,0
15.91,43.28,0
16.19,44.95,0
15.82,42.02,0
16.36,46.72,0
16.08,43.82,0
16.47,47.22,0
15.85,42.42,0
16.26,44.72,0
15.74,41.62,0
16.40,46.92,0
15.99,43.32,0
16.12,44.22,0
16.02,43.02,0
15.81,41.42,0
16.44,46.52,0
15.76,42.12,0
16.21,45.35,0
15.92,43.18,0
16.14,44.85,0
15.83,41.92,0
16.33,46.62,0
16.05,43.72,0
16.45,47.12,0
15.86,42.32,0
16.25,44.62,0
15.75,41.52,0
16.39,46.82,0
15.98,43.22,0
16.11,44.12,0
16.01,42.92,0
15.82,41.32,0
16.42,46.42,0
15.77,42.02,0
16.22,45.25,0
15.93,43.08,0
16.15,44.75,0
15.84,41.82,0
16.31,46.52,0
16.04,43.62,0
16.44,47.02,0
15.87,42.22,0
16.24,44.52,0
15.76,41.42,0
16.38,46.72,0
15.97,43.12,0
16.10,44.02,0
16.03,42.82,0
15.83,41.22,0
16.41,46.32,0
15.78,41.92,0
16.23,45.15,0
15.94,42.98,0
16.16,44.65,0
15.85,41.72,0
16.30,46.42,0
16.03,43.52,0
16.43,46.92,0
15.88,42.12,0
16.23,44.42,0
15.77,41.32,0
16.37,46.62,0
15.96,43.02,0
16.11,43.92,0
16.04,42.72,0
15.84,41.12,0
16.42,46.22,0
15.79,41.82,0
16.24,45.05,0
15.95,42.88,0
16.17,44.55,0
15.86,41.62,0
16.29,46.32,0
16.02,43.42,0
16.42,46.82,0
15.89,42.02,0
16.22,44.32,0
15.78,41.22,0
16.36,46.52,0
15.95,42.92,0
16.12,43.82,0
16.05,42.62,0
15.85,41.02,0
16.41,46.12,0
15.80,41.72,0
16.25,44.95,0
15.96,42.78,0
16.18,44.45,0
15.87,41.52,0
16.28,46.22,0
16.01,43.32,0
16.41,46.72,0
15.90,41.92,0
16.21,44.22,0
15.79,41.12,0
16.35,46.42,0
15.94,42.82,0
16.13,43.72,0
16.06,42.52,0
15.86,40.92,0
16.40,46.02,0
15.81,41.62,0
16.26,44.85,0
15.97,42.68,0
16.19,44.35,0
15.88,41.42,0
16.27,46.12,0
16.00,43.22,0
16.40,46.62,0
15.91,41.82,0
16.20,44.12,0
15.80,41.02,0
16.34,46.32,0
15.93,42.72,0
16.14,43.62,0
16.07,42.42,0
15.87,40.82,0
16.39,45.92,0
15.82,41.52,0
16.27,44.75,0
15.98,42.58,0
16.20,44.25,0
15.89,41.32,0
16.26,46.02,0
16.10,43.12,0
16.41,46.52,0
15.92,41.72,0
16.21,44.02,0
15.81,40.92,0
16.33,46.22,0
15.94,42.62,0
16.15,43.52,0
16.08,42.32,0
15.88,40.72,0
16.38,45.82,0
15.83,41.42,0
16.28,44.65,0
15.99,42.48,0
16.21,44.15,0
15.90,41.22,0
16.25,45.92,0
16.11,43.02,0
16.42,46.42,0
15.93,41.62,0
16.22,43.92,0
15.82,40.82,0
16.32,46.12,0
15.95,42.52,0
16.16,43.42,0
16.09,42.22,0
15.89,40.62,0
16.37,45.72,0
15.84,41.32,0
16.29,44.55,0
16.00,42.38,0
16.22,44.05,0
15.91,41.12,0
16.24,45.82,0
16.12,42.92,0
16.43,46.32,0
15.94,41.52,0
16.23,43.82,0
15.83,40.72,0
16.31,46.02,0
15.96,42.42,0
16.17,43.32,0
16.10,42.12,0
15.90,40.52,0
16.36,45.62,0
15.85,41.22,0
16.30,44.45,0
16.01,42.28,0
16.23,43.95,0
15.92,41.02,0
16.23,45.72,0
16.13,42.82,0
16.44,46.22,0
15.95,41.42,0
16.24,43.72,0
15.84,40.62,0
16.30,45.92,0
15.97,42.32,0
16.18,43.22,0
16.11,42.02,0
15.91,40.42,0
16.35,45.52,0
15.86,41.12,0
16.31,44.35,0
16.02,42.18,0
16.24,43.85,0
15.93,40.92,0
16.22,45.62,0
16.14,42.72,0
16.45,46.12,0
15.96,41.32,0
16.25,43.62,0
15.85,40.52,0
16.29,45.82,0
15.98,42.22,0
16.19,43.12,0
16.12,41.92,0
15.92,40.32,0
16.34,45.42,0
15.87,41.02,0
16.32,44.25,0
16.03,42.08,0
16.25,43.75,0
15.94,40.82,0
16.21,45.52,0
16.15,42.62,0
16.46,46.02,0
15.97,41.22,0
16.26,43.52,0
15.86,40.42,0
16.28,45.72,0
15.99,42.12,0
16.20,43.02,0
16.13,41.82,0
15.93,40.22,0
16.33,45.32,0
15.88,40.92,0
16.33,44.15,0
16.04,41.98,0
16.26,43.65,0
15.95,40.72,0
16.20,45.42,0
16.16,42.52,0
16.47,45.92,0
15.98,41.12,0
16.27,43.42,0
15.87,40.32,0
16.27,45.62,0
16.00,42.02,0
16.21,42.92,0
16.14,41.72,0
15.94,40.12,0
16.32,45.22,0
15.89,40.82,0
11.50,15.20,1
12.80,18.40,1
13.10,22.50,1
10.80,12.10,1
12.90,19.30,1
11.50,16.80,1
13.40,25.20,1
10.20,10.50,1
12.10,20.90,1
11.80,17.20,1
13.80,26.50,1
10.50,11.10,1
12.30,19.80,1
11.90,17.50,1
13.20,24.10,1
10.70,12.20,1
12.60,18.80,1
11.40,15.60,1
13.50,25.30,1
10.90,13.10,1
12.80,19.50,1
11.10,14.70,1
13.90,27.90,1
10.30,10.40,1
12.40,20.20,1
11.70,17.80,1
13.60,25.60,1
10.40,11.90,1
12.20,18.50,1
11.60,16.40,1
13.70,26.40,1
10.10,10.20,1
12.90,20.10,1
11.30,14.90,1
13.30,24.30,1
10.60,11.70,1
12.50,19.40,1
11.80,17.60,1
13.40,25.20,1
10.80,12.60,1
12.70,18.90,1
11.20,15.70,1
13.80,26.30,1
10.50,12.10,1
12.30,19.50,1
11.90,17.80,1
13.20,24.40,1
10.70,12.50,1
12.60,19.30,1
11.40,16.40,1
13.50,25.10,1
10.90,13.70,1
12.80,19.80,1
11.10,14.50,1
13.90,26.60,1
10.30,11.30,1
12.40,20.10,1
11.70,17.90,1
13.60,25.20,1
10.40,11.60,1
