# Energie_TWh, Part_Renouvelable_Pct, Label_Groupe
# --- GROUPE 0 : NORD (Basse conso, Très haut renouvelable) ---
45.2,65.4,0
48.1,68.2,0
42.5,63.1,0
46.8,66.7,0
44.3,64.9,0
47.5,67.3,0
43.9,65.8,0
49.2,69.1,0
41.7,62.4,0
45.0,65.0,0
# ... (répété pour atteindre 100 points avec variations de +/- 3.0)
# [Génération simulée des 90 points restants pour le groupe 0]
46.1,66.2,0
44.8,64.1,0
47.3,67.9,0
43.2,63.5,0
48.7,68.5,0
45.5,65.2,0
42.9,62.8,0
46.4,66.4,0
44.1,64.7,0
47.8,67.1,0
43.5,63.2,0
49.5,69.4,0
41.2,62.1,0
45.8,65.7,0
44.5,64.3,0
46.2,66.9,0
48.3,68.0,0
42.1,62.6,0
47.0,67.5,0
45.1,65.4,0
43.7,63.8,0
48.9,68.2,0
44.6,64.5,0
46.5,66.1,0
42.8,62.9,0
47.2,67.4,0
45.4,65.1,0
43.1,63.4,0
49.1,69.0,0
41.5,62.3,0
45.9,65.6,0
44.4,64.2,0
46.3,66.8,0
48.5,68.3,0
42.2,62.7,0
47.1,67.6,0
45.2,65.3,0
43.8,63.9,0
48.6,68.1,0
44.7,64.4,0
46.6,66.2,0
42.7,62.8,0
47.4,67.3,0
45.6,65.0,0
43.3,63.5,0
49.3,69.2,0
41.4,62.2,0
45.7,65.8,0
44.2,64.1,0
46.0,66.7,0
48.4,68.4,0
42.3,62.5,0
47.2,67.7,0
45.0,65.2,0
43.6,63.7,0
48.8,68.3,0
44.5,64.6,0
46.4,66.3,0
42.6,62.7,0
47.5,67.2,0
45.7,65.1,0
43.2,63.6,0
49.4,69.3,0
41.6,62.4,0
45.6,65.9,0
44.1,64.0,0
46.1,66.6,0
48.2,68.5,0
42.4,62.6,0
47.3,67.8,0
45.1,65.5,0
43.5,63.8,0
48.7,68.4,0
44.4,64.7,0
46.3,66.4,0
42.5,62.6,0
47.6,67.1,0
45.8,65.0,0
43.1,63.7,0
49.5,69.4,0
41.7,62.5,0
45.5,65.7,0
44.0,64.2,0
46.2,66.5,0
48.1,68.6,0
42.5,62.7,0
47.4,67.9,0
45.3,65.6,0
43.4,63.9,0
48.8,68.5,0
# --- GROUPE 1 : OUEST (Très haute conso, Renouvelable moyen) ---
850.5,22.4,1
880.1,24.8,1
830.3,20.5,1
860.0,23.0,1
840.2,21.4,1
875.8,25.1,1
825.4,19.8,1
890.3,26.5,1
810.7,18.5,1
855.0,22.0,1
# ... (répété 100x environ)
851.2,22.5,1
878.5,24.6,1
832.1,20.7,1
859.4,22.9,1
841.5,21.6,1
874.2,25.0,1
826.8,20.1,1
889.5,26.3,1
811.4,18.7,1
854.2,22.1,1
852.1,22.6,1
877.3,24.4,1
833.5,20.9,1
858.7,22.8,1
842.4,21.7,1
873.1,24.9,1
827.5,20.2,1
888.6,26.1,1
812.2,18.8,1
853.5,22.2,1
853.0,22.7,1
