# Année, Violents (x100k), Propriété (x100k), Catégorie
# Catégories : 0: White, 1: Black, 2: Asian, 3: Hispanic, 4: Native American
2015,150.5,1200.2,0
2016,162.1,1180.8,0
2017,145.3,1210.5,0
2018,155.0,1195.0,0
2019,148.2,1175.4,0
2020,152.8,1190.1,0
2021,157.3,1205.5,0
2022,143.9,1188.2,0
2023,151.1,1192.6,0
2024,149.5,1199.0,0
2015,450.8,2400.5,1
2016,480.2,2350.1,1
2017,440.0,2410.0,1
2018,465.5,2380.0,1
2019,455.3,2395.2,1
2020,472.1,2370.8,1
2021,460.9,2405.4,1
2022,448.5,2385.0,1
2023,468.2,2365.9,1
2024,458.7,2390.3,1
